periodo;indice;valor
201406;metro_linea_k;477690
201406;metro_linea_j;317707
201406;metro_linea_l;70783
201406;metro_linea_1_buses;1600370
201406;metro_linea_2_buses;328028
201406;metro_cuenca_3;405643
201406;metro_cuenca_6;736928
201506;metro_linea_a;13705567
201506;metro_linea_b;2263646
201506;metro_linea_k;607976
201506;metro_linea_j;388261
201506;metro_linea_l;92863
201506;metro_linea_1_buses;1728481
201506;metro_linea_2_buses;309790
201506;metro_cuenca_3;462444
201506;metro_cuenca_6;857703
201606;metro_linea_a;14478151
201606;metro_linea_b;2490730
201606;metro_linea_k;519581
201606;metro_linea_j;263108
201606;metro_linea_l;88120
201606;metro_linea_1_buses;1822202
201606;metro_linea_2_buses;320279
201606;metro_cuenca_3;516141
201606;metro_cuenca_6;1032966
201606;metro_cuenca_7_integrados;361047
201606;metro_cuenca_5_integrados;0
201606;metro_tranvia;335764
201606;metro_linea_h;0
201705;metro_cuenca_9_integrados;126624
201706;metro_linea_a;14026337
201706;metro_linea_b;2473849
201706;metro_linea_k;394217
201706;metro_linea_j;409670
201706;metro_linea_l;59560
201706;metro_linea_1_buses;1864499
201706;metro_linea_2_buses;312754
201706;metro_cuenca_3;553843
201706;metro_cuenca_6;1006398
201706;metro_cuenca_7_integrados;369761
201706;metro_cuenca_5_integrados;368403
201706;metro_tranvia;550894
201706;metro_linea_h;54393
201107;metro_linea_a;11200417
201107;metro_linea_b;1953089
201107;metro_linea_k;544120
201107;metro_linea_j;252894
201107;metro_linea_l;105380
201107;metro_linea_1_buses;0
201207;metro_linea_a;11193306
201207;metro_linea_b;1973758
201207;metro_linea_k;545578
201207;metro_linea_j;276841
201207;metro_linea_l;89983
201207;metro_linea_1_buses;825996
201307;metro_linea_a;12719495
201307;metro_linea_b;2152293
201307;metro_linea_k;588815
201307;metro_linea_j;326313
201307;metro_linea_l;86406
201307;metro_linea_1_buses;1351201
201307;metro_linea_2_buses;102249
201307;metro_cuenca_3;0
201307;metro_cuenca_6;0
201407;metro_linea_a;13596987
201407;metro_linea_b;2297422
201407;metro_linea_k;611185
201407;metro_linea_j;386238
201407;metro_linea_l;69405
201407;metro_linea_1_buses;1806315
201407;metro_linea_2_buses;377232
201407;metro_cuenca_3;480761
201407;metro_cuenca_6;844952
201507;metro_linea_a;14898532
201507;metro_linea_b;2522206
201507;metro_linea_k;161556
201507;metro_linea_j;190039
201507;metro_linea_l;8832
201507;metro_linea_1_buses;1909444
201507;metro_linea_2_buses;345207
201507;metro_cuenca_3;539714
201507;metro_cuenca_6;977677
201607;metro_linea_a;14333243
201607;metro_linea_b;2479336
201607;metro_linea_k;642948
201607;metro_linea_j;404220
201607;metro_linea_l;110596
201607;metro_linea_1_buses;1825935
201607;metro_linea_2_buses;316855
201607;metro_cuenca_3;533254
201607;metro_cuenca_6;1015339
201607;metro_cuenca_7_integrados;351112
201607;metro_cuenca_5_integrados;0
201607;metro_tranvia;375954
201607;metro_linea_h;0
201706;metro_cuenca_9_integrados;113814
201707;metro_linea_a;14278459
201707;metro_linea_b;2593310
201707;metro_linea_k;630026
201707;metro_linea_j;307972
201707;metro_linea_l;103621
201707;metro_linea_1_buses;1920054
201707;metro_linea_2_buses;317948
201707;metro_cuenca_3;594672
201707;metro_cuenca_6;1028059
201707;metro_cuenca_7_integrados;375266
201707;metro_cuenca_5_integrados;370419
201707;metro_tranvia;581525
201707;metro_linea_h;0
201108;metro_linea_a;12327129
201108;metro_linea_b;2159626
201108;metro_linea_k;552040
201108;metro_linea_j;260463
201108;metro_linea_l;82733
201108;metro_linea_1_buses;0
201208;metro_linea_a;12155283
201208;metro_linea_b;2148709
201208;metro_linea_k;555756
201208;metro_linea_j;286231
201208;metro_linea_l;83643
201208;metro_linea_1_buses;952793
201308;metro_linea_a;13271147
201308;metro_linea_b;2290711
201308;metro_linea_k;577013
201308;metro_linea_j;343323
201308;metro_linea_l;79313
201308;metro_linea_1_buses;1427775
201308;metro_linea_2_buses;143478
201308;metro_cuenca_3;0
201308;metro_cuenca_6;0
201408;metro_linea_a;13656347
201408;metro_linea_b;2367297
201408;metro_linea_k;605479
201408;metro_linea_j;370080
201408;metro_linea_l;88000
201408;metro_linea_1_buses;1859471
201408;metro_linea_2_buses;361626
201408;metro_cuenca_3;478733
201408;metro_cuenca_6;861998
201508;metro_linea_a;14873141
201508;metro_linea_b;2558939
201508;metro_linea_k;627058
201508;metro_linea_j;427918
201508;metro_linea_l;98380
201508;metro_linea_1_buses;1952879
